"Timestamp","Age","Gender","What kind of Locality do you live in?","Education level - Either Studying or Completed","Family Income per year(in Rupees)","How likely are you to use home remedies for the following health issue/ symptom :  [Sore throat / Cough]","How likely are you to use home remedies for the following health issue/ symptom :  [Running Nose]","How likely are you to use home remedies for the following health issue/ symptom :  [Diarrhoea]","How likely are you to use home remedies for the following health issue/ symptom :  [Back/Joint pain]","How likely are you to use home remedies for the following health issue/ symptom :  [Constipation]","How likely are you to use home remedies for the following health issue/ symptom :  [Headache]","How likely are you to use home remedies for the following health issue/ symptom :  [Wounds / minor cuts and bruises]","How likely are you to use home remedies for the following health issue/ symptom :  [Sleeping problems / nervousness]","Have you ever used any of the following home remedies?","Do you prefer using Home remedies?"
"2020/10/20 12:53:15 AM GMT+5:30","45","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 12:55:26 AM GMT+5:30","44","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Most of the time","Always","Always","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 12:56:49 AM GMT+5:30","44","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Once in a while","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 1:06:55 AM GMT+5:30","21","Male","Urban","Post Graduate","1 lakh to 25 lakh","Always","Once in a while","Never","Once in a while","Most of the time","Never","Once in a while","Never","Kadha / Herbal Teas;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/20 1:17:48 AM GMT+5:30","43 yrs ","Female","Urban","Graduate","Above 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Once in a while","Once in a while","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/20 1:37:52 AM GMT+5:30","20","Female","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Never","Never","Never","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 1:46:46 AM GMT+5:30","30","Female","Urban","Graduate","Above 25 lakh","Always","Always","Always","Always","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 2:44:01 AM GMT+5:30","19 ","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 2:57:24 AM GMT+5:30","26","Male","Urban","Post Graduate","1 lakh to 25 lakh","Always","Always","Once in a while","Most of the time","Most of the time","Once in a while","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/20 3:33:08 AM GMT+5:30","32","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/20 4:00:41 AM GMT+5:30","27","Female","Urban","Post Graduate","Above 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/20 5:04:35 AM GMT+5:30","46","Female","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/20 5:05:06 AM GMT+5:30","19","Female","Urban","High School","Prefer not to say","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/20 5:54:54 AM GMT+5:30","61","Male","Urban","Post Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Most of the time","Most of the time","Most of the time","Once in a while","Always","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 5:55:56 AM GMT+5:30","18","Male","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Once in a while","Once in a while","Never","Once in a while","Never","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam","No"
"2020/10/20 6:31:46 AM GMT+5:30","45","Female","Urban","Graduate","Prefer not to say","Always","Most of the time","Once in a while","Once in a while","Always","Once in a while","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 6:36:23 AM GMT+5:30","45","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Never","Most of the time","Most of the time","Never","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/20 6:39:55 AM GMT+5:30","27","Male","Urban","Post Graduate","1 lakh to 25 lakh","Always","Always","Once in a while","Always","Once in a while","Once in a while","Most of the time","Once in a while","Never used any home remedies;Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 6:39:56 AM GMT+5:30","43","Female","Urban","Post Graduate","Prefer not to say","Always","Always","Always","Always","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 6:44:47 AM GMT+5:30","49","Male","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Never","Most of the time","Never","Once in a while","Once in a while","Never","Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 6:50:21 AM GMT+5:30","42","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/20 6:50:22 AM GMT+5:30","44","Female","Urban","Graduate","Prefer not to say","Always","Always","Most of the time","Most of the time","Always","Once in a while","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/20 6:50:52 AM GMT+5:30","42","Male","Urban","Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Never","Once in a while","Never","Once in a while","Never","Once in a while","Kadha / Herbal Teas;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 6:51:55 AM GMT+5:30","58","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/20 7:04:03 AM GMT+5:30","38","Male","Rural","Post Graduate","1 lakh to 25 lakh","Always","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 7:04:12 AM GMT+5:30","40","Male","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 7:11:00 AM GMT+5:30","43","Male","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation","Yes"
"2020/10/20 7:15:24 AM GMT+5:30","43","Female","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 7:20:16 AM GMT+5:30","47","Female","Urban","Post Graduate","Above 25 lakh","Most of the time","Never","Once in a while","Never","Most of the time","Once in a while","Never","Once in a while","Kadha / Herbal Teas;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/20 7:23:50 AM GMT+5:30","51","Female","Urban","Graduate","Above 25 lakh","Always","Always","Always","Most of the time","Always","Most of the time","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 7:24:10 AM GMT+5:30","48","Female","Urban","Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Once in a while","Most of the time","Never","Once in a while","Most of the time","Once in a while","Other Home Remedies","Yes"
"2020/10/20 7:24:58 AM GMT+5:30","21","Male","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Most of the time","Most of the time","Once in a while","Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 7:25:41 AM GMT+5:30","52","Male","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Never","Once in a while","Most of the time","Most of the time","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 7:26:06 AM GMT+5:30","62","Female","Urban","Graduate","Prefer not to say","Most of the time","Always","Most of the time","Most of the time","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/20 7:26:39 AM GMT+5:30","51","Female","Urban","Post Graduate","Prefer not to say","Always","Most of the time","Most of the time","Never","Once in a while","Always","Most of the time","Once in a while","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 7:27:23 AM GMT+5:30","54","Male","Urban","High School","Prefer not to say","Most of the time","Always","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Once in a while","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 7:27:48 AM GMT+5:30","92","Female","Urban","High School","Prefer not to say","Always","Always","Always","Most of the time","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 7:28:23 AM GMT+5:30","12","Female","Urban","High School","Prefer not to say","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 7:32:17 AM GMT+5:30","47","Female","Urban","Post Graduate","Prefer not to say","Most of the time","Once in a while","Once in a while","Once in a while","Most of the time","Most of the time","Once in a while","Always","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/20 7:36:25 AM GMT+5:30","52","Male","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Once in a while","Never","Never","Once in a while","Never","Once in a while","Once in a while","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 7:36:36 AM GMT+5:30","37","Female","Urban","Post Graduate","less than 1 Lakh","Most of the time","Most of the time","Once in a while","Once in a while","Once in a while","Once in a while","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 7:38:34 AM GMT+5:30","44","Male","Urban","Post Graduate","Prefer not to say","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Most of the time","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Gargling for Sore throat","Yes"
"2020/10/20 7:40:45 AM GMT+5:30","47","Female","Urban","Post Graduate","Prefer not to say","Always","Always","Most of the time","Most of the time","Most of the time","Most of the time","Always","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 7:42:12 AM GMT+5:30","43","Female","Urban","Post Graduate","1 lakh to 25 lakh","Once in a while","Never","Once in a while","Never","Never","Never","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 7:49:08 AM GMT+5:30","59","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Once in a while","Most of the time","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 7:52:31 AM GMT+5:30","39","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/20 7:52:49 AM GMT+5:30","53","Male","Urban","Post Graduate","Prefer not to say","Once in a while","Once in a while","Never","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 7:57:02 AM GMT+5:30","Yes","Female","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Never","Always","Once in a while","Once in a while","Once in a while","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 8:01:09 AM GMT+5:30","42","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Always","Once in a while","Most of the time","Never","Never","Kadha / Herbal Teas;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 8:05:40 AM GMT+5:30","24","Female","Rural","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Never","Once in a while","Never","Most of the time","Once in a while","Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/20 8:06:35 AM GMT+5:30","40","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Once in a while","Once in a while","Once in a while","Once in a while","Never","Never","Once in a while","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/20 8:08:39 AM GMT+5:30","25","Female","Rural","Post Graduate","Prefer not to say","Most of the time","Never","Most of the time","Most of the time","Most of the time","Never","Most of the time","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/20 8:09:31 AM GMT+5:30","41","Female","Urban","Graduate","Prefer not to say","Always","Always","Always","Always","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 8:12:50 AM GMT+5:30","43","Male","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Always","Once in a while","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/20 8:16:28 AM GMT+5:30","45","Male","Urban","Graduate","1 lakh to 25 lakh","Always","Always","Most of the time","Once in a while","Always","Most of the time","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 8:16:37 AM GMT+5:30","13","Female","Urban","Basic schooling","Prefer not to say","Once in a while","Once in a while","Once in a while","Never","Never","Most of the time","Most of the time","Once in a while","Drink Haldi/Turmeric milk","Yes"
"2020/10/20 8:24:42 AM GMT+5:30","74","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 8:34:28 AM GMT+5:30","23","Female","Urban","Post Graduate","1 lakh to 25 lakh","Always","Always","Never","Never","Most of the time","Most of the time","Always","Always","Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 8:41:17 AM GMT+5:30","18","Male","Rural","Graduate","1 lakh to 25 lakh","Once in a while","Never","Never","Never","Never","Never","Never","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/20 8:41:46 AM GMT+5:30","18","Female","Urban","Graduate","1 lakh to 25 lakh","Never","Never","Never","Never","Never","Most of the time","Never","Never","Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/20 8:42:12 AM GMT+5:30","Yes","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 8:44:36 AM GMT+5:30","15","Male","Urban","High School","Above 25 lakh","Once in a while","Once in a while","Never","Never","Never","Once in a while","Once in a while","Never","Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 8:44:52 AM GMT+5:30","27","Male","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Never","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/20 8:52:14 AM GMT+5:30","47","Female","Urban","Post Graduate","Prefer not to say","Always","Always","Most of the time","Most of the time","Always","Most of the time","Most of the time","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 8:54:51 AM GMT+5:30","20","Male","Urban","Graduate","Prefer not to say","Always","Always","Never","Always","Most of the time","Most of the time","Most of the time","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 8:56:22 AM GMT+5:30","27","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Never","Never","Most of the time","Most of the time","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/20 8:56:55 AM GMT+5:30","36","Male","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Always","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 8:57:14 AM GMT+5:30","71","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Never","Never","Most of the time","Never","Never","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 8:57:28 AM GMT+5:30","24","Male","Rural","Graduate","1 lakh to 25 lakh","Most of the time","Once in a while","Once in a while","Never","Never","Most of the time","Once in a while","Most of the time","Drink Haldi/Turmeric milk;Using Hot water steam;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/20 8:57:37 AM GMT+5:30","31","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 9:01:21 AM GMT+5:30","50","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 9:03:12 AM GMT+5:30","40","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 9:08:39 AM GMT+5:30","50","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 9:09:16 AM GMT+5:30","21","Male","Urban","Post Graduate","Prefer not to say","Never","Never","Never","Never","Never","Never","Once in a while","Never","Never used any home remedies;Apply Turmeric/ Haldi on wounds and acne / pimple","No"
"2020/10/20 9:13:44 AM GMT+5:30","48","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 9:14:44 AM GMT+5:30","33","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
